SAMPNO,SUBDATE,Lead,Result (Pb),Copper,Result (Cu),ADDRESS,CITY,ZIP CODE,Site_Code,Service Line Material,Sample Location
LG13586,16-Feb-16,Lead,1,Copper,160,RASKOB  ,FLINT,48504,FS0359,Copper,KITCHEN
LG13597,16-Feb-16,Lead,8,Copper,0,FRANK ST ,FLINT,48504,FS0368,Galvanized,KITCHEN
LG13585,16-Feb-16,Lead,2,Copper,0,MT ELLIOTT AVE,FLINT,48504,FS0050,Unknown,KITCHEN
LG13587,16-Feb-16,Lead,1,Copper,0,MASON ST ,FLINT,48503,FS0381,Copper,BATHROOM
LG13588,16-Feb-16,Lead,0,Copper,0,W YORK AVE,FLINT,48505,FS0154,Copper,KITCHEN
LG13589,16-Feb-16,Lead,0,Copper,0,W CARPENTER RD,FLINT,48505,FS0002,Copper,KITCHEN
LG13590,16-Feb-16,Lead,0,Copper,0,W BUNDY AVE,FLINT,48505,FS0155,Copper,BATHROOM
LG13591,16-Feb-16,Lead,0,Copper,0,POLLY ST ,FLINT,48505,FS0001,Copper,KITCHEN
LG13592,16-Feb-16,Lead,15,Copper,280,W CARPENTER RD,FLINT,48505,FS0144,Unknown,KITCHEN
LG13593,16-Feb-16,Lead,0,Copper,0,ROBBIE LANE ,FLINT,48505,FS0156,Copper,BATHROOM
LG13594,16-Feb-16,Lead,26,Copper,0,MT ELLIOTT AVE,FLINT,48504,FS0046,Copper,KITCHEN
LG13595,16-Feb-16,Lead,2,Copper,70,CADDILAC ST ,FLINT,48504,FS0397,Copper,KITCHEN/BATHROOM
LG13596,16-Feb-16,Lead,0,Copper,0,WOODCROFT  ,FLINT,48503,FS0266,Copper,KITCHEN
LG13598,16-Feb-16,Lead,4,Copper,450,ANN ARBOR ST,FLINT,48503,FS0111,Copper,KITCHEN
LG13599,16-Feb-16,Lead,243,Copper,640,DICKENSON  ,FLINT,48504,FS0091,Copper,KITCHEN
LG13600,16-Feb-16,Lead,0,Copper,0,CHURCH  ,FLINT,48503,FS0396,Unknown,KITCHEN
LG13601,16-Feb-16,Lead,2,Copper,70,SWAYZE  ,FLINT,48503,FS0188,Copper,KITCHEN
LG13602,16-Feb-16,Lead,17,Copper,70,CHURCH ST ,FLINT,48502,FS0389,Unknown,BATHROOM
LG13603,16-Feb-16,Lead,0,Copper,190,WOODCROFT AVE ,FLINT,48503,FS0267,Copper,BATHROOM
LG13604,16-Feb-16,Lead,41,Copper,70,SOUTH DR ,FLINT,48503,FS0211,Lead,KITCHEN
LG13605,16-Feb-16,Lead,0,Copper,650,S SAGINAW ,FLINT,48502,FS0179,Plastic,
LG13606,16-Feb-16,Lead,1,Copper,0,BROWN ST ,FLINT,48503,FS0268,Galvanized,KITCHEN
LG13607,16-Feb-16,Lead,1,Copper,0,IDA AVE ,FLINT,48503,FS0269,Copper,KITCHEN
LG13608,16-Feb-16,Lead,3,Copper,100,CARTIER  ,FLINT,48504,FS0107,Copper,KITCHEN
LG13609,16-Feb-16,Lead,3,Copper,0,MAJOR ST ,FLINT,48507,FS0241,Copper,KITCHEN
LG13610,16-Feb-16,Lead,2,Copper,0,CLAIRMONT ST ,FLINT,48503,FS0196,Copper,KITCHEN
LG13611,16-Feb-16,Lead,1,Copper,0,CLINTON  ,FLINT,48507,FS0234,Copper,KITCHEN
LG13612,16-Feb-16,Lead,0,Copper,0,MILLER RD ,FLINT,48503,FS0265,Copper,KITCHEN
LG13613,16-Feb-16,Lead,0,Copper,0,E TOBIAS ,FLINT,48503,FS0226,Galvanized,KITCHEN
LG13614,16-Feb-16,Lead,0,Copper,230,MANN AVE ,FLINT,48503,FS0193,Other,KITCHEN
LG13615,16-Feb-16,Lead,1,Copper,120,E BELVIDERE AVE,FLINT,48503,FS0250,Copper,KITCHEN
LG13616,16-Feb-16,Lead,5,Copper,60,INGLESIDE AVE ,FLINT,48507,FS0243,Copper,KITCHEN
LG13617,16-Feb-16,Lead,3,Copper,60,BARNEY AVE ,FLINT,48503,FS0254,Galvanized,KITCHEN
LG13618,16-Feb-16,Lead,6,Copper,0,MIDDLETON  ,FLINT,48503,FS0206,Galvanized,KITCHEN
LG13619,16-Feb-16,Lead,2,Copper,0,BROWN ST ,FLINT,48503,FS0259,Copper,KITCHEN
LG13620,16-Feb-16,Lead,0,Copper,0,MONROE ST ,FLINT,48503,FS0240,Galvanized,KITCHEN
LG13621,16-Feb-16,Lead,0,Copper,0,KNAPP  ,FLINT,48503,FS0255,Copper,KITCHEN
LG13622,16-Feb-16,Lead,0,Copper,0,GAINEY AVE ,FLINT,48503,FS0263,Copper,KITCHEN
LG13623,16-Feb-16,Lead,4,Copper,0,KNAPP AVE ,FLINT,48505,FS0202,Galvanized,KITCHEN
LG13624,16-Feb-16,Lead,0,Copper,0,FRANK ST ,FLINT,48504,FS0093,Galvanized,KITCHEN
LG13625,16-Feb-16,Lead,9,Copper,80,FIELDING  ,FLINT,48503,FS0204,Galvanized,KITCHEN
LG13626,16-Feb-16,Lead,32,Copper,170,MOUNTAIN AVE ,FLINT,48503,FS1493,,BATHROOM
LG13627,16-Feb-16,Lead,0,Copper,50,CHURCHHILL AVE ,FLINT,48506,FS0353,Copper,KITCHEN
LG13628,16-Feb-16,Lead,5,Copper,0,E COURT ,FLINT,48503,FS0302,Copper,KITCHEN
LG13629,16-Feb-16,Lead,0,Copper,0,E COURT ST,FLINT,48503,FS0293,Copper,KITCHEN
LG13630,16-Feb-16,Lead,0,Copper,0,WOODSIDE DR ,FLINT,48503,FS0178,Unknown,BATHROOM
LG13631,16-Feb-16,Lead,7,Copper,0,MOUNTAIN AVE ,FLINT,48503,FS0295,Lead,KITCHEN
LG13632,16-Feb-16,Lead,5,Copper,70,KANSAS AVE ,FLINT,48506,FS0301,Copper,KITCHEN
LG13633,16-Feb-16,Lead,1,Copper,100,MOUNTAIN AVE ,FLINT,48503,FS0294,Copper,KITCHEN
LG13634,16-Feb-16,Lead,1,Copper,0,G COURT ,FLINT,48503,FS0306,Copper,KITCHEN
LG13635,16-Feb-16,Lead,4,Copper,150,WARNER AVE ,FLINT,48503,FS0168,Copper,KITCHEN
LG13636,16-Feb-16,Lead,4,Copper,170,E COURT ST,FLINT,48503,FS0305,Copper,KITCHEN
LG13637,16-Feb-16,Lead,4,Copper,0,E COURT ST,FLINT,48503,FS0303,Copper,KITCHEN
LG13638,16-Feb-16,Lead,7,Copper,140,MOUNTAIN AVE ,FLINT,48503,FS0401,Lead,KITCHEN
LG13639,16-Feb-16,Lead,2,Copper,170,KENNELWORTH AVE ,FLINT,48503,FS0171,Copper,KITCHEN
LG13640,16-Feb-16,Lead,0,Copper,0,ILLINOIS AVE ,FLINT,48506,FS0349,Copper,KITCHEN
LG13641,16-Feb-16,Lead,6,Copper,0,WEST ELDRIDGE AVE,FLINT,48505,FS0028,Copper,KITCHEN
LG13642,16-Feb-16,Lead,17,Copper,50,E MOORE ST,FLINT,48505,FS0018,Copper,KITCHEN
LG13643,16-Feb-16,Lead,33,Copper,110,E GENESEE ST,FLINT,48505,FS0323,Unknown,KITCHEN
LG13644,16-Feb-16,Lead,1,Copper,0,COPEMAN  ,FLINT,48504,FS0336,Lead,KITCHEN
LG13645,16-Feb-16,Lead,0,Copper,280,CLIO RD ,FLINT,48504,FS0029,Copper,BATHROOM
LG13646,16-Feb-16,Lead,2,Copper,0,JANICE DRIVE ,FLINT,48504,FS0137,Copper,KITCHEN
LG13647,16-Feb-16,Lead,0,Copper,0,EDWARDS AVE ,FLINT,48505,FS0025,Galvanized,
LG13648,16-Feb-16,Lead,11,Copper,60,  ,FLINT,48505,FS0317,Copper,KITCHEN
LG13649,16-Feb-16,Lead,2,Copper,0,KELLAR  ,FLINT,48504,FS0335,Copper,KITCHEN
LG13650,16-Feb-16,Lead,0,Copper,0,BIRCHCREST DR ,FLINT,48504,FS0027,Copper,KITCHEN
LG13651,16-Feb-16,Lead,1,Copper,0,SALLY CT ,FLINT,48505,FS0138,Copper,KITCHEN
LG13652,16-Feb-16,Lead,1,Copper,0,ORANGE LANE ,FLINT,48505,FS0139,Copper,KITCHEN
LG13653,16-Feb-16,Lead,15,Copper,120,BEECHER  ,FLINT,48503,FS0373,Copper,KITCHEN
LG13654,16-Feb-16,Lead,10,Copper,70,BUCKINGHAM AVE ,FLINT,48507,FS0230,Copper,KITCHEN
LG13655,16-Feb-16,Lead,4,Copper,0,COVENTRY  ,FLINT,48503,FS0372,Copper,BATHROOM
LG13656,16-Feb-16,Lead,1,Copper,60,WINONA ST ,FLINT,48504,FS0337,Copper,KITCHEN
LG13657,16-Feb-16,Lead,1,Copper,70,W KEARSLEY ,FLINT,48532,FS0110,Copper,KITCHEN
LG13658,16-Feb-16,Lead,11,Copper,110,NORBERT  ,FLINT,48504,FS0086,Copper,KITCHEN
LG13659,16-Feb-16,Lead,7,Copper,0,CLINTON ST ,FLINT,48507,FS0247,Lead,KITCHEN
LG13660,16-Feb-16,Lead,0,Copper,0,WESTWOOD PKWY ,FLINT,48503,FS0212,Copper,KITCHEN
LG13661,16-Feb-16,Lead,2,Copper,180,WINDEMERE AVE ,FLINT,48503,FS0291,Copper,KITCHEN
LG13662,16-Feb-16,Lead,2,Copper,0,BLANCHARD AVE ,FLINT,48503,FS0282,Copper,KITCHEN
LG13663,16-Feb-16,Lead,0,Copper,0,GIBSON  ,FLINT,48503,FS0191,Galvanized,KITCHEN
LG13664,16-Feb-16,Lead,0,Copper,160,GIBSON ST ,FLINT,48503,FS0189,Copper,KITCHEN
LG13665,16-Feb-16,Lead,8,Copper,0,OKLAHOMA AVE ,FLINT,48506,FS0344,Copper,KITCHEN
LG13666,16-Feb-16,Lead,2,Copper,0,E COURT ST,FLINT,48503,FS0289,Copper,KITCHEN
LG13667,16-Feb-16,Lead,3,Copper,140,E COURT ST,FLINT,48503,FS0292,Copper,
LG13668,16-Feb-16,Lead,4,Copper,60,S VERNON AVE,FLINT,48503,FS0290,Copper,KITCHEN
LG13669,16-Feb-16,Lead,22,Copper,150,RISEDORPH  ,FLINT,48506,FS0056,Copper,KITCHEN
LG13670,16-Feb-16,Lead,0,Copper,0,CHANDLER AVE ,FLINT,48503,FS0165,Copper,KITCHEN
LG13671,16-Feb-16,Lead,3,Copper,0,OKLAHOMA AVE ,FLINT,48506,FS0343,Copper,KITCHEN
LG13672,16-Feb-16,Lead,0,Copper,0,S CUMBERLAND ,FLINT,48503,FS0180,Copper,BATHROOM
LG13673,16-Feb-16,Lead,4,Copper,120,SALISHAN CIRCLE ,FLINT,48506,FS0063,Copper,KITCHEN
LG13674,16-Feb-16,Lead,0,Copper,0,N CENTER RD,FLINT,48506,FS0077,Copper,KITCHEN
LG13675,16-Feb-16,Lead,0,Copper,0,WOODROW AVE ,FLINT,48506,FS0057,Copper,KITCHEN
LG13676,16-Feb-16,Lead,0,Copper,0,WYOMING ST ,FLINT,48506,FS0055,Copper,KITCHEN
LG13677,16-Feb-16,Lead,2,Copper,0,W GENESEE ,FLINT,48504,FS0040,Copper,KITCHEN
LG13678,16-Feb-16,Lead,2,Copper,170,FOREST HILL ,FLINT,48504,FS0035,Unknown,KITCHEN
LG13679,16-Feb-16,Lead,0,Copper,0,KELLAR  ,FLINT,48504,FS0030,Copper,KITCHEN
LG13680,16-Feb-16,Lead,0,Copper,60,CRAIG DRIVE ,FLINT,48506,FS0061,Copper,KITCHEN
LG13681,16-Feb-16,Lead,70,Copper,240,W RANKIN ST,FLINT,48504,FS0036,Unknown,KITCHEN
LG13682,16-Feb-16,Lead,0,Copper,0,W RANKIN ST,FLINT,48505,FS0037,Copper,KITCHEN
LG13683,16-Feb-16,Lead,0,Copper,0,JAMIESON  ,FLINT,48505,FS0041,Copper,KITCHEN
LG13684,16-Feb-16,Lead,4,Copper,0,PROCTOR AVE ,FLINT,48504,FS0034,Copper,KITCHEN
LG13694,16-Feb-16,Lead,2,Copper,0,E RUTH AVE,FLINT,48505,FS0314,Copper,KITCHEN
LG13695,16-Feb-16,Lead,115,Copper,380,CONCORD ST ,FLINT,48504,FS0052,Copper,KITCHEN
LG13696,16-Feb-16,Lead,2,Copper,80,MALLORY  ,FLINT,48504,FS0097,Copper,KITCHEN
LG13697,16-Feb-16,Lead,2,Copper,110,MOUNT ELLIOTT AVE,FLINT,48504,FS0049,Unknown,BATHROOM
LG13698,16-Feb-16,Lead,3,Copper,0,WELCH BLVD ,FLINT,48504,FS0379,Galvanized,BATHROOM
LG13699,16-Feb-16,Lead,0,Copper,0,MARTIN LUTHER KING,FLINT,48503,FS0382,Plastic,BATHROOM
LG13700,16-Feb-16,Lead,0,Copper,0,RASKOB ST ,FLINT,48504,FS0364,Copper,KITCHEN
LG13701,16-Feb-16,Lead,0,Copper,0,WILCOTT  ,FLINT,48504,FS0115,Galvanized,KITCHEN
LG13702,16-Feb-16,Lead,0,Copper,0,MARTIN LUTHER KING,FLINT,48503,FS0383,Galvanized,KITCHEN
LG13703,16-Feb-16,Lead,0,Copper,0,BENNETT AVE ,FLINT,48506,FS0075,Galvanized,KITCHEN
LG13704,16-Feb-16,Lead,2,Copper,0,BENNET AVE ,FLINT,48506,FS0074,Galvanized,KITCHEN
LG13705,16-Feb-16,Lead,7,Copper,0,NELSON ST ,FLINT,48503,FS0162,Copper,BATHROOM
LG13706,16-Feb-16,Lead,10,Copper,230,BERKLEY  ,FLINT,48504,FS0108,Copper,KITCHEN
LG13707,16-Feb-16,Lead,0,Copper,50,BARTH ST ,FLINT,48504,FS0087,Galvanized,KITCHEN
LG13708,16-Feb-16,Lead,1,Copper,90,KIRK AVE ,FLINT,48503,FS0122,Copper,KITCHEN
LG13709,16-Feb-16,Lead,7,Copper,0,THOMAS ST ,FLINT,48504,FS0096,Copper,KITCHEN
LG13710,16-Feb-16,Lead,10,Copper,0,OAKLAHOMA AVE ,FLINT,48506,FS0328,Copper,KITCHEN
LG13711,16-Feb-16,Lead,58,Copper,0,BILLINGS ST ,FLINT,48505,FS0012,Galvanized,
LG13712,16-Feb-16,Lead,0,Copper,0,E LYNDON AVE,FLINT,48505,FS0013,Copper,KITCHEN
LG13713,16-Feb-16,Lead,0,Copper,0,E HOME AVE,FLINT,48502,FS0007,Copper,KITCHEN
LG13714,16-Feb-16,Lead,4,Copper,50,S FRANKLIN AVE,FLINT,48503,FS0285,Copper,BATHROOM
LG13715,16-Feb-16,Lead,0,Copper,0,E HOLBROOK AVE,FLINT,48505,FS0005,Copper,BATHROOM
LG13716,16-Feb-16,Lead,0,Copper,0,INDUSTRIAL  ,FLINT,48502,FS0014,Copper,KITCHEN
LG13717,16-Feb-16,Lead,2,Copper,0,GLOUCESTER ST ,FLINT,48503,FS0173,Copper,BATHROOM
LG13718,16-Feb-16,Lead,96,Copper,370,HILLS ST ,FLINT,48503,FS0308,Lead,KITCHEN
LG13719,16-Feb-16,Lead,3,Copper,0,MAXINE ST ,FLINT,48503,FS0281,Copper,KITCHEN
LG13720,16-Feb-16,Lead,0,Copper,0,MAXINE ST ,FLINT,48503,FS0283,Copper,KITCHEN
LG13721,16-Feb-16,Lead,0,Copper,70,E PARKWAY AVE,FLINT,48505,FS0152,Copper,KITCHEN
LG13722,16-Feb-16,Lead,0,Copper,0,WYOMING AVE ,FLINT,48506,FS0023,Galvanized,KITCHEN
LG13723,16-Feb-16,Lead,0,Copper,0,E LORADO ,FLINT,48505,FS0147,Copper,KITCHEN
LG13724,16-Feb-16,Lead,0,Copper,0,WYOMING AVE ,FLINT,48506,FS0326,Copper,KITCHEN
LG13725,16-Feb-16,Lead,82,Copper,0,CHURCH ST ,FLINT,48503,FS0238,Galvanized,KITCHEN
LG13726,16-Feb-16,Lead,1,Copper,140,E RUSSELL AVE,FLINT,48505,FS0004,Unknown,KITCHEN
LG13727,16-Feb-16,Lead,0,Copper,0,MONTANA AVE ,FLINT,48506,FS0022,Galvanized,KITCHEN
LG13728,16-Feb-16,Lead,1485,Copper,1800,LIPPINCOTT BLVD ,FLINT,48503,FS0311,Copper,
LG13729,16-Feb-16,Lead,5,Copper,0,LYNN CT ,FLINT,48503,FS0167,Copper,KITCHEN
LG13730,16-Feb-16,Lead,131,Copper,160,E COURT ST,FLINT,48503,FS0288,Copper,BATHROOM
LG13731,16-Feb-16,Lead,0,Copper,70,BARRINGTON DR ,FLINT,48503,FS0176,Copper,KITCHEN
LG13732,16-Feb-16,Lead,6,Copper,80,PIERCE ST ,FLINT,48503,FS0307,Copper,KITCHEN
LG13733,16-Feb-16,Lead,50,Copper,490,LIPPINCOTT BVLD ,FLINT,48503,FS0312,Galvanized,KITCHEN
LG13734,16-Feb-16,Lead,14,Copper,0,CLINTON ST ,FLINT,48507,FS0248,Lead,KITCHEN
LG13735,16-Feb-16,Lead,81,Copper,130,KANSAS AVE ,FLINT,48506,FS0166,Galvanized,KITCHEN
LG13736,16-Feb-16,Lead,3,Copper,140,WISCONSIN AVE ,FLINT,48506,FS0347,Copper,KITCHEN
LG13737,16-Feb-16,Lead,0,Copper,0,WASHINGTON AVE ,FLINT,48503,FS0272,Galvanized,KITCHEN
LG13738,16-Feb-16,Lead,2,Copper,0,S FRANKLIN AVE,FLINT,48503,FS0296,Unknown,KITCHEN
LG13762,16-Feb-16,Lead,12,Copper,60,LESLIE CT ,FLINT,48504,FS0141,Copper,KITCHEN
LG13739,16-Feb-16,Lead,2,Copper,60,S FRANKLIN AVE,FLINT,48503,FS0297,Lead,
LG13740,16-Feb-16,Lead,3,Copper,0,MISSOURI AVE ,FLINT,48506,FS0350,Copper,KITCHEN
LG13741,16-Feb-16,Lead,0,Copper,0,S FRANKLIN ,FLINT,48503,FS0298,Copper,KITCHEN
LG13742,16-Feb-16,Lead,5,Copper,0,CRAPO ST ,FLINT,48503,FS0273,Copper,BATHROOM
LG13743,16-Feb-16,Lead,2,Copper,80,COPEMAN  ,FLINT,48504,FS0334,Unknown,BATHROOM
LG13744,16-Feb-16,Lead,3,Copper,80,CROMWELL AVE ,FLINT,48503,FS0184,Galvanized,KITCHEN
LG13745,16-Feb-16,Lead,1,Copper,80,COMMONWEALTH AVE ,FLINT,48503,FS0181,Copper,KITCHEN
LG13746,16-Feb-16,Lead,0,Copper,0,MIEKIN RD ,FLINT,48503,FS0398,Copper,
LG13747,16-Feb-16,Lead,1,Copper,0,MASON  ,FLINT,48503,FS0113,Galvanized,BATHROOM
LG13748,16-Feb-16,Lead,3,Copper,80,SLOAN  ,FLINT,48503,FS0360,Copper,BATHROOM
LG13749,16-Feb-16,Lead,4,Copper,0,RASKOB  ,FLINT,48504,FS0362,Copper,KITCHEN
LG13750,16-Feb-16,Lead,3,Copper,0,W PATERSON ST,FLINT,48504,FS0340,Galvanized,KITCHEN
LG13751,16-Feb-16,Lead,255,Copper,170,MASON  ,FLINT,48503,FS0380,Copper,BATHROOM
LG13752,16-Feb-16,Lead,3,Copper,0,N CHEVROLET AVE,FLINT,48504,FS0102,Galvanized,KITCHEN
LG13753,16-Feb-16,Lead,3,Copper,130,W HAMILTON ,FLINT,48503,FS0124,Unknown,KITCHEN
LG13754,16-Feb-16,Lead,1,Copper,0,PONTIAC ST ,FLINT,48503,FS0377,Copper,
LG13755,16-Feb-16,Lead,0,Copper,100,SLOAN ST ,FLINT,48504,FS0363,Copper,KITCHEN
LG13756,16-Feb-16,Lead,1,Copper,90,ADAMS  ,FLINT,48505,FS0112,Galvanized,BATHROOM
LG13757,16-Feb-16,Lead,26,Copper,110,SLOAN ST ,FLINT,48504,FS0084,Galvanized,KITCHEN
LG13758,16-Feb-16,Lead,0,Copper,0,BAGLEY ST ,FLINT,48504,FS0101,Galvanized,KITCHEN
LG13759,16-Feb-16,Lead,0,Copper,90,CLEMENT  ,FLINT,48504,FS0355,Copper,KITCHEN
LG13760,16-Feb-16,Lead,0,Copper,140,N CHEVROLET AVENUE,FLINT,48504,FS0367,Copper,KITCHEN
LG13761,16-Feb-16,Lead,53,Copper,130,WELCH BLVD ,FLINT,48504,FS0044,Unknown,KITCHEN
LG13764,16-Feb-16,Lead,3,Copper,0,E AUSTIN ,FLINT,48505,FS0313,Copper,BATHROOM
LG13765,16-Feb-16,Lead,5,Copper,0,MACKIN RD ,FLINT,48504,FS0357,Copper,KITCHEN
LG13766,16-Feb-16,Lead,2,Copper,90,CAMPBELL ST ,FLINT,48507,FS0224,Lead,BATHROOM
LG13818,16-Feb-16,Lead,2,Copper,0,WOLCOTT ST ,FLINT,48504,FS0079,Galvanized,KITCHEN
LG14332,16-Feb-16,Lead,0,Copper,0,CORUNNA RD ,FLINT,48503,FS0257,,KITCHEN
LG15060,17-Feb-16,Lead,2,Copper,110,MARLEY  ,FLINT,48504,FS0088,,KITCHEN
LG16315,21-Feb-16,Lead,0,Copper,0,BAKER  ,FLINT,48505,FS2232,,KITCHEN
LG16316,21-Feb-16,Lead,1,Copper,0,JANICE DR ,FLINT,48504,FS0137,Copper,KITCHEN
LG16317,21-Feb-16,Lead,3,Copper,110,CONCORD ST ,FLINT,48504,FS0052,Copper,KITCHEN
LG16318,21-Feb-16,Lead,7,Copper,0,DAMON  ,FLINT,48505,FS0017,,KITCHEN
LG16551,22-Feb-16,Lead,0,Copper,0,BRANCH RD ,FLINT,48506,FS0351,,KITCHEN
LG17106,23-Feb-16,Lead,9,Copper,60,WINONA  ,FLINT,48504,FS0039,,KITCHEN
LG17310,24-Feb-16,Lead,3,Copper,0,E GENESEE ST,FLINT,48505,FS1964,Lead,KITCHEN
LG17311,24-Feb-16,Lead,0,Copper,0,E DARTMOUTH ,FLINT,48505,FS2004,Galvanized,KITCHEN
LG17312,24-Feb-16,Lead,2,Copper,0,MARVIN  ,FLINT,48505,FS2574,Copper,KITCHEN
LG17313,24-Feb-16,Lead,0,Copper,0,BISHOP  ,FLINT,48505,FS1977,Unknown,KITCHEN
LG17314,24-Feb-16,Lead,71,Copper,80,E RUSSELL ,FLINT,48505,FS2656,Unknown,KITCHEN
LG17315,24-Feb-16,Lead,2,Copper,0,RUSSELL  ,FLINT,48505,FS1994,Unknown,KITCHEN
LG17316,24-Feb-16,Lead,6,Copper,90,COPMAN  ,FLINT,48504,FS0404,Lead,KITCHEN
LG17317,24-Feb-16,Lead,5,Copper,0,E GENESEE ,FLINT,48505,FS2659,Galvanized,KITCHEN
LG17318,24-Feb-16,Lead,0,Copper,0,WINONA  ,FLINT,48504,FS0579,Copper,KITCHEN
LG17319,24-Feb-16,Lead,2,Copper,0,WELCH BLVD ,FLINT,48504,FS0672,Copper,KITCHEN
LG17320,24-Feb-16,Lead,6,Copper,0,E MCCLELLAN ,FLINT,48505,FS1974,Galvanized,KITCHEN
LG17321,24-Feb-16,Lead,2,Copper,0,E GNEESEE ,FLINT,48505,FS1605,,KITCHEN
LG17322,24-Feb-16,Lead,8,Copper,0,WINDEMERE  ,FLINT,48503,FS2189,Lead,KITCHEN
LG17323,24-Feb-16,Lead,2,Copper,60,E MOORE ,FLINT,48505,FS2571,Copper,KITCHEN
LG17324,24-Feb-16,Lead,25,Copper,70,WELCH BLVD ,FLINT,48506,FS0408,Lead,
LG17325,24-Feb-16,Lead,0,Copper,0,E DARTMOUTH ,FLINT,48505,FS2300,Galvanized,KITCHEN
LG17326,24-Feb-16,Lead,6,Copper,130,PIERCE ST ,FLINT,48503,FS2246,Copper,KITCHEN
LG17327,24-Feb-16,Lead,0,Copper,0,GREENFIELD  ,FLINT,48503,FS2081,,KITCHEN
LG17328,24-Feb-16,Lead,4,Copper,70,HILL  ,FLINT,48503,FS2626,Copper,KITCHEN
LG17329,24-Feb-16,Lead,1,Copper,110,CHANDLER  ,FLINT,48503,FS2344,Unknown,KITCHEN
LG17330,24-Feb-16,Lead,4,Copper,60,PIERCE  ,FLINT,48503,FS1043,Copper,KITCHEN
